id;title;author_id;author_name;description;category;sub_category;level;language;duration;price;rating;rating_count;thumbnail;url
fbdd8b44-6687-4a5f-8131-621c33b042ee;recontextualize navigate;Tasty;generating deposit systems;exuding Arizona Architect;reboot Harbors;Idaho;Bedfordshire override EXE;Steel Concrete Table;fresh-thinking;deposit;bandwidth Quality;Games Kids Burundi;Stravenue invoice;https://henderson.name
b81538ea-be4e-45a9-8021-520c4a63da5d;invoice;transmit back-end;U.S.;Danish Pants;application;programming leading-edge;Fantastic pink Soft;Virginia Silver Sleek;Plastic Cliff;functionalities withdrawal;Tennessee;IB compressing;CSS Mouse;https://dulce.org
c2b4e509-9997-4067-b428-c6077e254e64;eco-centric adapter;Interactions attitude-oriented;Jan architect Vision-oriented;Quality;Product Metal;yellow salmon Cambridgeshire;Buckinghamshire functionalities ability;grid-enabled;Ouguiya Research;convergence RSS;support;adapter;primary;http://hunter.net
6538b029-acc1-411a-9279-5b4544bc3399;Handmade copying Cape;Unbranded;frame Jersey Profound;bluetooth Salad;Islands Forward Cheese;Rubber;scale Avon Pants;Alabama Estates Pants;Fresh Berkshire Outdoors;Chief Buckinghamshire;wireless Senior Orchestrator;Chicken invoice;Coordinator;https://jacinto.org
3b11c4a7-9393-430f-bdb2-a8a90c0a826f;Arizona;Intelligent;Account bypassing;Arkansas;National parsing;green reboot synthesize;Architect back-end Small;program capacitor;HTTP Cliffs;North Granite Locks;online;SMTP;Serbian District grey;http://andrew.org
9cd88a1b-2c5a-4831-9ee5-dca75e8314cf;Gorgeous Multi-layered;orchid hierarchy bandwidth;Bacon Buckinghamshire transmitting;Vermont Handcrafted;leverage Associate;Accounts Personal;Graphic revolutionize;Gloves Franc;Car;front-end;Delaware;navigating protocol pixel;invoice back-end;http://beau.net
e5286a0d-9565-4b84-a426-dc5506afe738;Intelligent calculating;Small;withdrawal Identity;Electronics strategize Brand;global vertical;hub Savings;Internal;Saudi navigating;Integrated Fully-configurable American;Connecticut;homogeneous e-business Card;redundant harness;transmit;https://adeline.org
733f0154-dd68-4284-b198-6983eaaf12b0;Small feed Peso;Implemented Refined;digital Tasty;Sol Bulgaria;Handmade;green Synergistic;tolerance Home Bike;programming Planner;Wyoming Steel bandwidth;Fresh;Coves dot-com;functionalities Group District;target iterate Sausages;https://shawna.net
8110af07-5973-42d6-9efa-fd83a74f618e;Optimized Planner;Future Architect Freeway;Associate payment;Berkshire engineer;alliance Implemented Granite;Mount Convertible Rica;Courts Automotive;tan;Plastic bricks-and-clicks;red partnerships;repurpose Granite;quantifying Manors;metrics;https://citlalli.biz
d54dd3a3-a921-494a-961c-5fa56a236036;Implemented Officer Baby;Legacy;generate Bedfordshire Borders;parsing Engineer Lodge;parsing compressing;Gloves Green;Brooks card;sticky Account;innovate;Lari blue Soft;Malagasy Fort;complexity payment Djibouti;payment action-items;http://adelle.info
